scenario_id,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,mode,contingency_id,contingency_type,element_table,element_index,element_name,description,converged,power_flow_run,pf_status,min_vm_pu,max_vm_pu,max_vuf_percent,max_line_loading_percent,p_grid_mw,unserved_load_mw,critical_unserved_load_mw,n_unserved_buses,non_convergence_violation,service_loss_violation,critical_service_loss_violation,voltage_low_violation,voltage_high_violation,loading_violation,vuf_violation,violation_label,severity_score,state_restoration_passed
bess_charging,0.95,1.0,1.0,1.0,0.75,-0.009,grid_connected,pv_2_trip,pv_trip,asymmetric_sgen,2,PV_three_phase_remote,Trip PV PV_three_phase_remote,True,True,solved,0.9780561800429811,1.0001944904130904,0.21574459560670844,49.618965609195065,0.06560258791863753,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
bess_charging,0.95,1.0,1.0,1.0,0.75,-0.009,grid_connected,bess_trip,bess_trip,bess_pair,bess_static_setpoint,BESS_static_setpoint,Trip BESS static setpoint,True,True,solved,0.9817500192191776,1.0012983214214863,0.21490963293491167,41.7148557158307,0.051756042366130496,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
bess_charging,0.95,1.0,1.0,1.0,0.75,-0.009,grid_connected,pcc_outage,pcc_outage,ext_grid,0,PCC_slack_grid_connected,Disconnect the PCC/slack equivalent,False,False,no_slack_skip,,,,,,0.0736,0.03465,5,True,True,True,False,False,False,False,True,1.0,True
stress_unbalance,1.6,0.75,1.85,0.85,0.1,0.0,grid_connected,line_0_out,line_outage,line,0,L0_PCC_to_main,Open line L0_PCC_to_main,False,False,service_loss_skip,,,,,,0.13072,0.04968,5,False,True,True,False,False,False,False,True,1.0,True
stress_unbalance,1.6,0.75,1.85,0.85,0.1,0.0,grid_connected,line_1_out,line_outage,line,1,L1_main_to_critical,Open line L1_main_to_critical,False,False,service_loss_skip,,,,,,0.09856000000000001,0.04968,4,False,True,True,False,False,False,False,True,1.0,True
stress_unbalance,1.6,0.75,1.85,0.85,0.1,0.0,grid_connected,line_2_out,line_outage,line,2,L2_main_to_residential,Open line L2_main_to_residential,False,False,service_loss_skip,,,,,,0.03216,0.0,1,False,True,False,False,False,False,False,True,1.0,True
stress_unbalance,1.6,0.75,1.85,0.85,0.1,0.0,grid_connected,line_3_out,line_outage,line,3,L3_residential_to_pvA,Open line L3_residential_to_pvA,True,True,solved,0.9172233940688563,1.000418240682994,1.3941647121188183,144.87068146521779,0.1351273730399212,0.0,0.0,0,False,False,False,True,False,True,False,True,0.44870681465217777,True
stress_unbalance,1.6,0.75,1.85,0.85,0.1,0.0,grid_connected,line_6_out,line_outage,line,6,L6_ev_to_remote,Open line L6_ev_to_remote,False,False,service_loss_skip,,,,,,0.01752,0.0,1,False,True,False,False,False,False,False,True,0.876,True
stress_unbalance,1.6,0.75,1.85,0.85,0.1,0.0,grid_connected,line_7_out,line_outage,line,7,L7_critical_to_medical,Open line L7_critical_to_medical,False,False,service_loss_skip,,,,,,0.019520000000000003,0.019520000000000003,1,False,True,True,False,False,False,False,True,1.0,True
stress_unbalance,1.6,0.75,1.85,0.85,0.1,0.0,grid_connected,pv_0_trip,pv_trip,asymmetric_sgen,0,PV_single_phase_A,Trip PV PV_single_phase_A,True,True,solved,0.9172233974603325,1.0004182407773883,1.3941647088255407,144.87064629332525,0.1351273710760174,0.0,0.0,0,False,False,False,True,False,True,False,True,0.44870646293325245,True
stress_unbalance,1.6,0.75,1.85,0.85,0.1,0.0,grid_connected,pv_1_trip,pv_trip,asymmetric_sgen,1,PV_single_phase_C,Trip PV PV_single_phase_C,True,True,solved,0.9172025628767568,1.000421967694822,1.3920699458847032,144.87549634063953,0.1351338856643347,0.0,0.0,0,False,False,False,True,False,True,False,True,0.4487549634063952,True
stress_unbalance,1.6,0.75,1.85,0.85,0.1,0.0,grid_connected,pv_2_trip,pv_trip,asymmetric_sgen,2,PV_three_phase_remote,Trip PV PV_three_phase_remote,True,True,solved,0.9168040478589325,1.0004211429701693,1.3979557613141587,145.2812277219908,0.1351731706867478,0.0,0.0,0,False,False,False,True,False,True,False,True,0.45281227721990813,True
stress_unbalance,1.6,0.75,1.85,0.85,0.1,0.0,grid_connected,bess_trip,bess_trip,bess_pair,bess_static_setpoint,BESS_static_setpoint,Trip BESS static setpoint,True,True,solved,0.917160590752119,1.0004207396813192,1.395922019636926,144.88410340205002,0.13452822123215202,0.0,0.0,0,False,False,False,True,False,True,False,True,0.44884103402050024,True
stress_unbalance,1.6,0.75,1.85,0.85,0.1,0.0,grid_connected,pcc_outage,pcc_outage,ext_grid,0,PCC_slack_grid_connected,Disconnect the PCC/slack equivalent,False,False,no_slack_skip,,,,,,0.13072,0.04968,5,True,True,True,False,False,False,False,True,1.0,True
