row_id,scenario_id,contingency_id,violation_label,severity_score,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,contingency_type,element_table,element_index,base_load_scale,base_phase_a_factor,base_phase_b_factor,base_phase_c_factor,base_pv_scale,base_bess_p_discharge_mw,base_min_vm_pu,base_max_vm_pu,base_max_vuf_percent,base_max_line_loading_percent,base_p_grid_mw,base_q_grid_mvar,base_p_load_mw,base_q_load_mvar,base_p_sgen_mw,base_p_line_loss_mw,base_p_load_a_mw,base_p_load_b_mw,base_p_load_c_mw,base_p_sgen_a_mw,base_p_sgen_b_mw,base_p_sgen_c_mw,base_mode
r0045,evening_peak_bess_discharge,line_1_out,1,1.0,1.35,1.05,1.2,1.0,0.05,0.009,line_outage,line,1,1.3,1.0,1.2,1.0,0.1,0.008,0.9668223912306768,1.0000990981676174,0.3425528634838798,68.5671560543988,0.0869790302338403,0.0192399133332307,0.09516,0.019032,0.0098,0.0016190308420448,0.0273,0.04056,0.0273,0.0034666666666666,0.0028666666666666,0.0034666666666666,grid_connected
r0046,evening_peak_bess_discharge,line_2_out,1,1.0,1.35,1.05,1.2,1.0,0.05,0.009,line_outage,line,2,1.3,1.0,1.2,1.0,0.1,0.008,0.9668223912306768,1.0000990981676174,0.3425528634838798,68.5671560543988,0.0869790302338403,0.0192399133332307,0.09516,0.019032,0.0098,0.0016190308420448,0.0273,0.04056,0.0273,0.0034666666666666,0.0028666666666666,0.0034666666666666,grid_connected
r0047,evening_peak_bess_discharge,line_3_out,0,0.0,1.35,1.05,1.2,1.0,0.05,0.009,line_outage,line,3,1.3,1.0,1.2,1.0,0.1,0.008,0.9668223912306768,1.0000990981676174,0.3425528634838798,68.5671560543988,0.0869790302338403,0.0192399133332307,0.09516,0.019032,0.0098,0.0016190308420448,0.0273,0.04056,0.0273,0.0034666666666666,0.0028666666666666,0.0034666666666666,grid_connected
r0048,evening_peak_bess_discharge,line_6_out,1,0.783,1.35,1.05,1.2,1.0,0.05,0.009,line_outage,line,6,1.3,1.0,1.2,1.0,0.1,0.008,0.9668223912306768,1.0000990981676174,0.3425528634838798,68.5671560543988,0.0869790302338403,0.0192399133332307,0.09516,0.019032,0.0098,0.0016190308420448,0.0273,0.04056,0.0273,0.0034666666666666,0.0028666666666666,0.0034666666666666,grid_connected
r0049,evening_peak_bess_discharge,line_7_out,1,1.0,1.35,1.05,1.2,1.0,0.05,0.009,line_outage,line,7,1.3,1.0,1.2,1.0,0.1,0.008,0.9668223912306768,1.0000990981676174,0.3425528634838798,68.5671560543988,0.0869790302338403,0.0192399133332307,0.09516,0.019032,0.0098,0.0016190308420448,0.0273,0.04056,0.0273,0.0034666666666666,0.0028666666666666,0.0034666666666666,grid_connected
r0050,evening_peak_bess_discharge,pv_0_trip,0,0.0,1.35,1.05,1.2,1.0,0.05,0.009,pv_trip,asymmetric_sgen,0,1.3,1.0,1.2,1.0,0.1,0.008,0.9668223912306768,1.0000990981676174,0.3425528634838798,68.5671560543988,0.0869790302338403,0.0192399133332307,0.09516,0.019032,0.0098,0.0016190308420448,0.0273,0.04056,0.0273,0.0034666666666666,0.0028666666666666,0.0034666666666666,grid_connected
r0051,evening_peak_bess_discharge,pv_1_trip,0,0.0,1.35,1.05,1.2,1.0,0.05,0.009,pv_trip,asymmetric_sgen,1,1.3,1.0,1.2,1.0,0.1,0.008,0.9668223912306768,1.0000990981676174,0.3425528634838798,68.5671560543988,0.0869790302338403,0.0192399133332307,0.09516,0.019032,0.0098,0.0016190308420448,0.0273,0.04056,0.0273,0.0034666666666666,0.0028666666666666,0.0034666666666666,grid_connected
r0052,evening_peak_bess_discharge,pv_2_trip,0,0.0,1.35,1.05,1.2,1.0,0.05,0.009,pv_trip,asymmetric_sgen,2,1.3,1.0,1.2,1.0,0.1,0.008,0.9668223912306768,1.0000990981676174,0.3425528634838798,68.5671560543988,0.0869790302338403,0.0192399133332307,0.09516,0.019032,0.0098,0.0016190308420448,0.0273,0.04056,0.0273,0.0034666666666666,0.0028666666666666,0.0034666666666666,grid_connected
r0053,evening_peak_bess_discharge,bess_trip,0,0.0,1.35,1.05,1.2,1.0,0.05,0.009,bess_trip,bess_pair,bess_static_setpoint,1.3,1.0,1.2,1.0,0.1,0.008,0.9668223912306768,1.0000990981676174,0.3425528634838798,68.5671560543988,0.0869790302338403,0.0192399133332307,0.09516,0.019032,0.0098,0.0016190308420448,0.0273,0.04056,0.0273,0.0034666666666666,0.0028666666666666,0.0034666666666666,grid_connected
r0054,evening_peak_bess_discharge,pcc_outage,1,1.0,1.35,1.05,1.2,1.0,0.05,0.009,pcc_outage,ext_grid,0,1.3,1.0,1.2,1.0,0.1,0.008,0.9668223912306768,1.0000990981676174,0.3425528634838798,68.5671560543988,0.0869790302338403,0.0192399133332307,0.09516,0.019032,0.0098,0.0016190308420448,0.0273,0.04056,0.0273,0.0034666666666666,0.0028666666666666,0.0034666666666666,grid_connected
