threshold,TP,FP,TN,FN,recall,precision,fnr,pf_calls_saved_fraction,missed_violations,model
0.9995354413986206,5,0,7,6,0.45454545454545453,1.0,0.5454545454545454,0.7222222222222222,6,BaselineMLP
0.9997560381889343,4,0,7,7,0.36363636363636365,1.0,0.6363636363636364,0.7777777777777778,7,BaselineMLP
0.999948263168335,3,0,7,8,0.2727272727272727,1.0,0.7272727272727273,0.8333333333333334,8,BaselineMLP
1.0,2,0,7,9,0.18181818181818182,1.0,0.8181818181818182,0.8888888888888888,9,BaselineMLP
0.0,11,7,0,0,1.0,0.6111111111111112,0.0,0.0,0,PI-MLP full
1.242127655132208e-05,11,7,0,0,1.0,0.6111111111111112,0.0,0.0,0,PI-MLP full
1.3235641745268367e-05,11,6,1,0,1.0,0.6470588235294118,0.0,0.05555555555555555,0,PI-MLP full
3.383752846275456e-05,11,5,2,0,1.0,0.6875,0.0,0.1111111111111111,0,PI-MLP full
4.4299398723524064e-05,11,4,3,0,1.0,0.7333333333333333,0.0,0.16666666666666666,0,PI-MLP full
7.300797005882487e-05,11,3,4,0,1.0,0.7857142857142857,0.0,0.2222222222222222,0,PI-MLP full
0.0010874054860323668,11,2,5,0,1.0,0.8461538461538461,0.0,0.2777777777777778,0,PI-MLP full
0.0015877754194661975,11,1,6,0,1.0,0.9166666666666666,0.0,0.3333333333333333,0,PI-MLP full
0.005,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.01,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.015,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.02,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.025,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.03,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.035,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.04,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.045,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.05,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.055,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.06,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.065,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.07,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.075,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.08,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.085,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.09,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.095,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.1,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.105,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.11,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.115,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.12,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.125,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.13,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.135,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.14,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.145,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.15,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.155,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.16,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.165,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.17,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.17500000000000002,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.18,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.185,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.19,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.195,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.2,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.20500000000000002,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.21,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.215,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.22,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
